date,um100,um025,pm1,pm25,um010,pm10,um003,temperature,um050,um005,pressure,humidity,locationId,location,latitude,longitude,country
2023-08-19T23:00:00+07:00,0.02166666666666667,0.32333333333333336,36.95555555555555,57.150000000000006,5.706666666666667,67.82222222222222,100.12,88.16666666666667,0.05722222222222225,28.491666666666667,1012.2822222222221,58.833333333333336,222854,Ancol,-6.124591,106.85121,ID
2023-08-20T00:00:00+07:00,0.017500000000000005,0.27208333333333334,33.233333333333334,51.17499999999999,4.928333333333333,62.48333333333334,86.94375000000001,88.0,0.04416666666666669,24.706250000000008,1012.2783333333332,58.666666666666664,222854,Ancol,-6.124591,106.85121,ID
2023-08-20T01:00:00+07:00,0.012800000000000002,0.21960000000000005,30.491999999999997,46.071999999999996,4.155199999999999,56.888000000000005,74.84360000000001,87.48,0.034400000000000014,21.238000000000003,1011.9691999999999,59.28,222854,Ancol,-6.124591,106.85121,ID
2023-08-20T02:00:00+07:00,0.01392857142857143,0.2382142857142857,31.54642857142857,47.75714285714286,4.445,59.20357142857142,79.49535714285716,86.96428571428571,0.037857142857142874,22.55785714285714,1011.7260714285712,60.642857142857146,222854,Ancol,-6.124591,106.85121,ID
2023-08-20T03:00:00+07:00,0.01533333333333334,0.24666666666666673,31.266666666666666,47.44333333333334,4.407333333333332,58.91333333333333,78.25999999999998,86.36666666666666,0.03833333333333335,22.23666666666667,1011.358,61.8,222854,Ancol,-6.124591,106.85121,ID
2023-08-20T04:00:00+07:00,0.019666666666666676,0.271,32.28666666666667,49.28666666666666,4.7266666666666675,61.330000000000005,82.78133333333334,86.2,0.04700000000000003,23.50066666666667,1011.1076666666664,62.266666666666666,222854,Ancol,-6.124591,106.85121,ID
2023-08-20T05:00:00+07:00,0.026296296296296307,0.3711111111111111,37.72222222222222,58.711111111111116,5.944814814814816,69.58888888888889,100.65333333333332,85.74074074074075,0.06518518518518521,28.64333333333333,1011.1077777777778,62.592592592592595,222854,Ancol,-6.124591,106.85121,ID
2023-08-20T06:00:00+07:00,0.04814814814814817,0.5437037037037037,47.288888888888884,75.7074074074074,7.906666666666666,83.84444444444443,127.40296296296299,85.62962962962963,0.11037037037037037,36.44777777777777,1011.7492592592592,63.18518518518518,222854,Ancol,-6.124591,106.85121,ID
2023-08-20T07:00:00+07:00,0.03733333333333334,0.44500000000000006,39.70333333333334,63.06000000000001,6.591333333333335,73.34333333333333,106.94833333333332,85.7,0.08600000000000002,30.576,1012.1823333333334,62.46666666666667,222854,Ancol,-6.124591,106.85121,ID
2023-08-20T08:00:00+07:00,0.02800000000000001,0.3783333333333333,36.21000000000001,57.76333333333332,6.021333333333333,68.65666666666667,97.23533333333334,87.9,0.06566666666666669,27.795,1012.6360000000001,55.233333333333334,222854,Ancol,-6.124591,106.85121,ID
2023-08-20T09:00:00+07:00,0.016000000000000004,0.2723333333333333,30.90666666666667,47.980000000000004,4.644,59.393333333333324,78.57633333333334,90.93333333333334,0.04266666666666669,22.364666666666665,1012.939,48.63333333333333,222854,Ancol,-6.124591,106.85121,ID
2023-08-20T10:00:00+07:00,0.018333333333333344,0.2626666666666667,31.69666666666666,48.76666666666667,4.804666666666666,60.363333333333344,82.85600000000001,94.2,0.044333333333333357,23.539666666666673,1012.4289999999999,42.86666666666667,222854,Ancol,-6.124591,106.85121,ID
2023-08-20T11:00:00+07:00,0.018214285714285718,0.2917857142857142,33.95,52.28571428571428,5.291071428571429,63.87142857142857,92.41178571428573,96.53571428571429,0.04928571428571431,26.251785714285713,1011.6632142857142,40.107142857142854,222854,Ancol,-6.124591,106.85121,ID
2023-08-20T12:00:00+07:00,0.01592592592592593,0.24851851851851853,32.0,48.6962962962963,4.7337037037037035,60.025925925925925,85.40740740740738,98.4074074074074,0.0414814814814815,24.17222222222222,1010.8051851851851,36.96296296296296,222854,Ancol,-6.124591,106.85121,ID
2023-08-20T13:00:00+07:00,0.005357142857142857,0.15607142857142858,26.528571428571432,39.98214285714287,3.328571428571429,48.142857142857146,62.49750000000001,99.64285714285714,0.022857142857142864,17.665000000000003,1009.8157142857144,36.67857142857143,222854,Ancol,-6.124591,106.85121,ID
2023-08-20T14:00:00+07:00,0.003846153846153846,0.11192307692307696,23.57692307692308,34.95384615384615,2.621923076923077,40.74615384615383,50.59653846153846,98.42307692307692,0.01346153846153846,14.287692307692303,1009.0153846153846,43.80769230769231,222854,Ancol,-6.124591,106.85121,ID
2023-08-20T15:00:00+07:00,0.00375,0.12750000000000003,23.900000000000002,35.845833333333324,2.7741666666666664,42.37916666666668,51.36250000000001,96.08333333333333,0.018750000000000003,14.542916666666668,1008.5924999999997,48.083333333333336,222854,Ancol,-6.124591,106.85121,ID
2023-08-20T16:00:00+07:00,0.0068000000000000005,0.16159999999999997,25.620000000000005,38.972,3.2399999999999993,46.744,57.83560000000001,94.84,0.020800000000000006,16.392,1008.6172,49.8,222854,Ancol,-6.124591,106.85121,ID
2023-08-20T17:00:00+07:00,0.006956521739130436,0.17,26.6,40.44347826086957,3.4086956521739147,48.88260869565216,61.16565217391303,92.91304347826087,0.025217391304347834,17.34565217391304,1008.8365217391304,49.95652173913044,222854,Ancol,-6.124591,106.85121,ID
2023-08-20T18:00:00+07:00,0.004615384615384616,0.1423076923076923,23.692307692307693,36.26153846153846,2.8123076923076926,42.67692307692308,50.32923076923077,91.0,0.019230769230769232,14.29,1009.1253846153845,50.23076923076923,222854,Ancol,-6.124591,106.85121,ID
2023-08-20T19:00:00+07:00,0.005600000000000001,0.14600000000000002,24.28,37.240000000000016,2.9236,44.224,52.4944,90.12,0.020800000000000006,14.893600000000001,1010.0204000000001,52.52,222854,Ancol,-6.124591,106.85121,ID
2023-08-20T20:00:00+07:00,0.004545454545454545,0.14045454545454547,24.518181818181816,37.02727272727274,2.8790909090909094,43.97272727272728,52.21000000000001,89.95454545454545,0.020000000000000004,14.832727272727272,1010.8854545454545,53.5,222854,Ancol,-6.124591,106.85121,ID
2023-08-20T21:00:00+07:00,0.010909090909090912,0.18590909090909094,27.37272727272727,41.95454545454545,3.536818181818182,50.96363636363637,63.52363636363636,90.0,0.029545454545454555,18.001818181818184,1011.5599999999998,53.86363636363637,222854,Ancol,-6.124591,106.85121,ID
2023-08-20T22:00:00+07:00,0.013846153846153845,0.21538461538461537,28.676923076923078,44.24615384615385,3.9169230769230765,54.146153846153844,68.90230769230769,90.0,0.03384615384615385,19.601538461538464,1012.1600000000001,54.76923076923077,222854,Ancol,-6.124591,106.85121,ID
2023-08-20T23:00:00+07:00,0.01363636363636364,0.23090909090909092,28.986363636363638,44.954545454545446,4.035454545454547,55.277272727272724,70.25954545454545,89.0909090909091,0.037272727272727284,20.001363636363635,1012.2877272727274,56.54545454545455,222854,Ancol,-6.124591,106.85121,ID
2023-08-21T00:00:00+07:00,0.021249999999999998,0.26,30.287499999999998,46.9875,4.42875,58.2375,76.0025,89.0,0.04499999999999999,21.609999999999996,1012.29125,58.25,222854,Ancol,-6.124591,106.85121,ID
2023-08-21T01:00:00+07:00,0.015454545454545455,0.25818181818181823,30.95454545454546,47.69090909090908,4.551818181818182,59.25454545454544,78.11181818181818,88.36363636363636,0.04181818181818181,22.156363636363633,1011.9827272727272,59.90909090909091,222854,Ancol,-6.124591,106.85121,ID
2023-08-21T02:00:00+07:00,0.01473684210526316,0.24684210526315786,31.257894736842104,47.6,4.506842105263158,59.20526315789473,78.08368421052633,87.6842105263158,0.04157894736842107,22.187368421052632,1011.218947368421,61.68421052631579,222854,Ancol,-6.124591,106.85121,ID
2023-08-21T03:00:00+07:00,0.01375,0.2525,31.61875,48.199999999999996,4.5675,59.925000000000004,79.73937500000001,87.0,0.043750000000000004,22.665000000000003,1010.840625,63.25,222854,Ancol,-6.124591,106.85121,ID
2023-08-21T04:00:00+07:00,0.02208333333333334,0.31416666666666665,34.25416666666667,53.02916666666666,5.254583333333333,64.87083333333335,89.46958333333335,86.08333333333333,0.05625000000000003,25.426666666666666,1010.9049999999999,64.08333333333333,222854,Ancol,-6.124591,106.85121,ID
2023-08-21T05:00:00+07:00,0.028888888888888898,0.38592592592592584,39.77777777777778,62.22962962962964,6.352592592592591,72.13703703703703,106.40555555555554,85.44444444444444,0.06777777777777781,30.321851851851843,1011.1607407407405,64.33333333333333,222854,Ancol,-6.124591,106.85121,ID
