date,pm25,location,bulan,total
2023-01-03T16:00:00+07:00,16.3111111111111,Angkasa-Kemayoran,,
2023-01-03T16:00:00+07:00,21.7178571428571,LTC Glodok,,
2023-01-03T17:00:00+07:00,32.3411764705882,Regatta The Icon,,
2023-01-03T17:00:00+07:00,25.0035714285714,Ancol,,
2023-01-03T17:00:00+07:00,17.3428571428571,Angkasa-Kemayoran,,
2023-01-03T17:00:00+07:00,20.8642857142857,LTC Glodok,,
2023-01-03T18:00:00+07:00,35.1833333333333,Regatta The Icon,,
2023-01-03T18:00:00+07:00,28.351724137931,Ancol,,
2023-01-03T18:00:00+07:00,15.6222222222222,Angkasa-Kemayoran,,
2023-01-03T18:00:00+07:00,23.7428571428571,LTC Glodok,,
2023-01-03T19:00:00+07:00,43.0833333333333,Regatta The Icon,,
2023-01-03T19:00:00+07:00,33.2833333333333,Ancol,,
2023-01-03T19:00:00+07:00,25.275,Angkasa-Kemayoran,,
2023-01-03T19:00:00+07:00,31.0599999999999,LTC Glodok,,
2023-01-03T20:00:00+07:00,53.6333333333333,Regatta The Icon,,
2023-01-03T20:00:00+07:00,36.1,Ancol,,
2023-01-03T20:00:00+07:00,31.12,Angkasa-Kemayoran,,
2023-01-03T20:00:00+07:00,34.5555555555555,LTC Glodok,,
2023-01-03T21:00:00+07:00,46.2285714285714,Regatta The Icon,,
2023-01-03T21:00:00+07:00,30.2866666666666,Ancol,,
2023-01-03T21:00:00+07:00,23.1083333333333,Angkasa-Kemayoran,,
2023-01-03T21:00:00+07:00,30.0964285714285,LTC Glodok,,
2023-01-03T22:00:00+07:00,30.7,Regatta The Icon,,
2023-01-03T22:00:00+07:00,20.551724137931,Ancol,,
2023-01-03T22:00:00+07:00,19.4571428571428,Angkasa-Kemayoran,,
2023-01-03T22:00:00+07:00,20.7,LTC Glodok,,
2023-01-03T23:00:00+07:00,16.0733333333333,Regatta The Icon,,
2023-01-03T23:00:00+07:00,13.2333333333333,Ancol,,
2023-01-03T23:00:00+07:00,4.57142857142857,Angkasa-Kemayoran,,
2023-01-03T23:00:00+07:00,6.37692307692307,LTC Glodok,,
2023-01-04T00:00:00+07:00,30.5,Regatta The Icon,,
2023-01-04T00:00:00+07:00,15.2666666666666,Ancol,,
2023-01-04T00:00:00+07:00,7.37692307692307,Angkasa-Kemayoran,,
2023-01-04T00:00:00+07:00,10.9714285714285,LTC Glodok,,
2023-01-04T01:00:00+07:00,15.2111111111111,Regatta The Icon,,
2023-01-04T01:00:00+07:00,13.0033333333333,Ancol,,
2023-01-04T01:00:00+07:00,5.08666666666666,Angkasa-Kemayoran,,
2023-01-04T01:00:00+07:00,8.65454545454545,LTC Glodok,,
2023-01-04T02:00:00+07:00,11.0285714285714,Regatta The Icon,,
2023-01-04T02:00:00+07:00,11.4966666666666,Ancol,,
2023-01-04T02:00:00+07:00,5.05666666666666,Angkasa-Kemayoran,,
2023-01-04T03:00:00+07:00,31.1965517241379,Regatta The Icon,,
2023-01-04T03:00:00+07:00,21.6892857142857,Ancol,,
2023-01-04T03:00:00+07:00,12.3931034482758,Angkasa-Kemayoran,,
2023-01-04T04:00:00+07:00,22.15,Regatta The Icon,,
2023-01-04T04:00:00+07:00,26.62,Ancol,,
2023-01-04T04:00:00+07:00,11.7666666666666,Angkasa-Kemayoran,,
2023-01-04T05:00:00+07:00,27.63,Regatta The Icon,,
2023-01-04T05:00:00+07:00,27.1733333333333,Ancol,,
2023-01-04T05:00:00+07:00,24.2266666666666,Angkasa-Kemayoran,,
2023-01-04T06:00:00+07:00,37.9620689655172,Regatta The Icon,,
2023-01-04T06:00:00+07:00,37.3633333333333,Ancol,,
2023-01-04T06:00:00+07:00,33.6655172413793,Angkasa-Kemayoran,,
2023-01-04T07:00:00+07:00,43.7733333333333,Regatta The Icon,,
2023-01-04T07:00:00+07:00,39.9392857142857,Ancol,,
2023-01-04T07:00:00+07:00,35.2733333333333,Angkasa-Kemayoran,,
2023-01-04T08:00:00+07:00,44.0172413793103,Regatta The Icon,,
2023-01-04T08:00:00+07:00,36.95,Ancol,,
2023-01-04T08:00:00+07:00,34.6241379310344,Angkasa-Kemayoran,,
2023-01-04T09:00:00+07:00,43.0666666666666,Regatta The Icon,,
2023-01-04T09:00:00+07:00,36.8666666666666,Ancol,,
2023-01-04T09:00:00+07:00,31.89,Angkasa-Kemayoran,,
2023-01-04T10:00:00+07:00,40.4366666666666,Regatta The Icon,,
2023-01-04T10:00:00+07:00,33.637037037037,Ancol,,
2023-01-04T10:00:00+07:00,27.6793103448275,Angkasa-Kemayoran,,
2023-01-04T11:00:00+07:00,32.2933333333333,Regatta The Icon,,
2023-01-04T11:00:00+07:00,30.7899999999999,Ancol,,
2023-01-04T11:00:00+07:00,28.4466666666666,Angkasa-Kemayoran,,
2023-01-04T12:00:00+07:00,21.6133333333333,Regatta The Icon,,
2023-01-04T12:00:00+07:00,26.1413793103448,Ancol,,
2023-01-04T12:00:00+07:00,27.6766666666666,Angkasa-Kemayoran,,
2023-01-04T13:00:00+07:00,19.61,Regatta The Icon,,
2023-01-04T13:00:00+07:00,15.5321428571428,Ancol,,
2023-01-04T13:00:00+07:00,16.1766666666666,Angkasa-Kemayoran,,
2023-01-04T14:00:00+07:00,28.43,Regatta The Icon,,
2023-01-04T14:00:00+07:00,27.87,Ancol,,
2023-01-04T14:00:00+07:00,29.3466666666666,Angkasa-Kemayoran,,
2023-01-04T15:00:00+07:00,25.96,Regatta The Icon,,
2023-01-04T15:00:00+07:00,24.6928571428571,Ancol,,
2023-01-04T15:00:00+07:00,28.4259259259259,Angkasa-Kemayoran,,
2023-01-04T16:00:00+07:00,23.1033333333333,Regatta The Icon,,
2023-01-04T16:00:00+07:00,22.3178571428571,Ancol,,
2023-01-04T16:00:00+07:00,26.2965517241379,Angkasa-Kemayoran,,
2023-01-04T17:00:00+07:00,21.8793103448275,Regatta The Icon,,
2023-01-04T17:00:00+07:00,34.3448275862069,Ancol,,
2023-01-04T17:00:00+07:00,28.4607142857142,Angkasa-Kemayoran,,
2023-01-04T18:00:00+07:00,28.4448275862068,Regatta The Icon,,
2023-01-04T18:00:00+07:00,40.39,Ancol,,
2023-01-04T18:00:00+07:00,36.7678571428571,Angkasa-Kemayoran,,
2023-01-04T19:00:00+07:00,41.3888888888888,Regatta The Icon,,
2023-01-04T19:00:00+07:00,45.6433333333333,Ancol,,
2023-01-04T19:00:00+07:00,44.5962962962962,Angkasa-Kemayoran,,
2023-01-04T20:00:00+07:00,52.4399999999999,Regatta The Icon,,
2023-01-04T20:00:00+07:00,47.7793103448275,Ancol,,
2023-01-04T20:00:00+07:00,46.4266666666666,Angkasa-Kemayoran,,
2023-01-04T21:00:00+07:00,49.3766666666666,Regatta The Icon,,
2023-01-04T21:00:00+07:00,44.7482758620689,Ancol,,
2023-01-04T21:00:00+07:00,45.8866666666666,Angkasa-Kemayoran,,
2023-01-04T22:00:00+07:00,50.92,Regatta The Icon,,
2023-01-04T22:00:00+07:00,47.2249999999999,Ancol,,
2023-01-04T22:00:00+07:00,48.5933333333333,Angkasa-Kemayoran,,
2023-01-04T23:00:00+07:00,56.4866666666666,Regatta The Icon,,
2023-01-04T23:00:00+07:00,46.32,Ancol,,
2023-01-04T23:00:00+07:00,47.0766666666666,Angkasa-Kemayoran,,
2023-01-05T00:00:00+07:00,61.9233333333333,Regatta The Icon,,
2023-01-05T00:00:00+07:00,43.2708333333333,Ancol,,
2023-01-05T00:00:00+07:00,45.77,Angkasa-Kemayoran,,
2023-01-05T01:00:00+07:00,27.7482758620689,Regatta The Icon,,
2023-01-05T01:00:00+07:00,25.5,Ancol,,
2023-01-05T01:00:00+07:00,26.0428571428571,Angkasa-Kemayoran,,
2023-01-05T02:00:00+07:00,32.4896551724138,Regatta The Icon,,
2023-01-05T02:00:00+07:00,19.9157894736842,Ancol,,
2023-01-05T02:00:00+07:00,15.0655172413793,Angkasa-Kemayoran,,
2023-01-05T03:00:00+07:00,33.937037037037,Regatta The Icon,,
2023-01-05T03:00:00+07:00,27.8423076923076,Ancol,,
2023-01-05T03:00:00+07:00,21.7296296296296,Angkasa-Kemayoran,,
2023-01-05T04:00:00+07:00,35.6642857142857,Regatta The Icon,,
2023-01-05T04:00:00+07:00,31.9999999999999,Ancol,,
2023-01-05T04:00:00+07:00,25.3392857142857,Angkasa-Kemayoran,,
2023-01-05T05:00:00+07:00,36.5965517241379,Regatta The Icon,,
2023-01-05T05:00:00+07:00,33.3142857142857,Ancol,,
2023-01-05T05:00:00+07:00,27.8241379310344,Angkasa-Kemayoran,,
2023-01-05T06:00:00+07:00,37.0655172413793,Regatta The Icon,,
2023-01-05T06:00:00+07:00,36.0411764705882,Ancol,,
2023-01-05T06:00:00+07:00,31.7724137931034,Angkasa-Kemayoran,,
2023-01-05T07:00:00+07:00,40.0919999999999,Regatta The Icon,,
2023-01-05T07:00:00+07:00,41.8833333333333,Ancol,,
2023-01-05T07:00:00+07:00,39.028,Angkasa-Kemayoran,,
2023-01-05T08:00:00+07:00,37.5620689655172,Regatta The Icon,,
2023-01-05T08:00:00+07:00,42.1875,Ancol,,
2023-01-05T08:00:00+07:00,36.7758620689655,Angkasa-Kemayoran,,
2023-01-05T09:00:00+07:00,42.1384615384615,Regatta The Icon,,
2023-01-05T09:00:00+07:00,41.8625,Ancol,,
2023-01-05T09:00:00+07:00,41.05,Angkasa-Kemayoran,,
2023-01-05T10:00:00+07:00,42.5851851851851,Regatta The Icon,,
2023-01-05T10:00:00+07:00,37,Ancol,,
